Optimal Fitting Degree	Corr. MSE	Corr. R2	Empty
1	6.289695967364863e-08	0.836756616269299
Degree	MSE (Training)	MSE (Testing)	R2 Score
1	8.55649558826146e-08	6.289695967364863e-08	0.836756616269299
2	6.254022131668067e-05	8.50583834832459e-05	-233.40261198771418
3	1.8384259204021323e-05	1.791812037045024e-05	-31.66803264722926
4	2.764452857083286e-05	2.3330641291876866e-05	-63.640879774328695
5	0.00012891659081798305	0.00011880653417423876	-246.5155934262984
6	7.234244582136288e-05	7.496406118617637e-05	-148.7935559344267
7	0.0004997244413107828	0.00044236433909204404	-1004.0466340651891
8	0.0006658283240685414	0.0004921766918163297	-883.8049138459959
9	0.03511043609187462	0.03165956659996241	-67416.80658753436
10	0.00046086626030937853	0.000405424019695466	-782.2783098400788
